Topic,Description,More Info,Resource
Safe UPI Practices (Module 3),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 3),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 3),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 3),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 3),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 3),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 3),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 3),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 3),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 4),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 4),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 4),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 4),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 4),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 4),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 4),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 4),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 4),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 4),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 5),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 5),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 5),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 5),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 5),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 5),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 5),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 5),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 5),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 5),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 6),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 6),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 6),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 6),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 6),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 6),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 6),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 6),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 6),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 6),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 7),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 7),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 7),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 7),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 7),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 7),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 7),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 7),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 7),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 7),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 8),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 8),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 8),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 8),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 8),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 8),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 8),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 8),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 8),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 8),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 9),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 9),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 9),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 9),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 9),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 9),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 9),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 9),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 9),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 9),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 10),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 10),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 10),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 10),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 10),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 10),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 10),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 10),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 10),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 10),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 11),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 11),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 11),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
Creating an Emergency Fund (Module 11),Why and how to build a financial safety cushion.,"An emergency fund helps cover sudden expenses like medical emergencies or job loss. Save 3-6 months' worth of expenses in a separate account, start with small amounts, and build consistently to increase financial stability.",https://www.investopedia.com/emergency-fund-4689748
Using Expense Tracker Apps (Module 11),Monitoring daily expenses using free apps.,"Expense tracker apps help categorize your spending, visualize where your money goes, and manage budgets efficiently. Apps like Walnut and Goodbudget can help women track daily household expenses systematically.",https://www.moneycontrol.com/
Avoiding Phishing Scams (Module 11),Recognizing and preventing online fraud and scams.,"Phishing scams trick users into giving away sensitive information like passwords or OTPs through fake messages or emails. Always verify links, avoid sharing personal data with unknown contacts, and report suspicious messages immediately.",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams
Budgeting Basics (Module 11),Planning income and expenses effectively for financial health.,"Creating a budget helps prioritize needs, control unnecessary spending, and save systematically for future goals. Track income and expenses using a notebook or apps and adjust spending to maintain savings discipline.",https://www.investopedia.com/budgeting-4689743
Understanding Credit Scores (Module 11),Basics of credit scores and why they matter for loans.,"Credit scores determine your loan eligibility and interest rates. Pay EMIs on time, avoid high credit usage, and check your credit report regularly to maintain a good score, which will help in future financial planning.",https://www.cibil.com/
Insurance Basics for Women (Module 11),Understanding health and life insurance for financial safety.,"Insurance protects your family during emergencies. Women should consider health and life insurance to secure themselves and dependents. Choose policies after comparing premium costs, benefits, and claim processes.",https://www.policybazaar.com/
Using Mobile Wallets Safely (Module 11),"Learning to use Paytm, Google Pay, etc., securely for payments.","Download wallets only from official app stores, set up app locks, limit wallet balances, and check transaction notifications regularly to detect fraud. Always use wallets for small transactions and keep sensitive data secure.",https://www.npci.org.in/
What is UPI? (Module 12),Introduction to Unified Payments Interface for daily digital transactions.,"UPI allows instant 24x7 money transfers using smartphones without needing to enter bank details repeatedly. It enables safe, fast, and free transactions for paying shops, bills, and friends directly from your bank account.",https://www.npci.org.in/what-we-do/upi/product-overview
Safe UPI Practices (Module 12),How to use UPI securely without falling for scams.,"Always keep your UPI PIN confidential, use official apps, verify the receiver's details before sending money, never approve payment requests from unknown persons, and immediately report suspicious activity to your bank.",https://www.bhimupi.org.in/upisafety
Net Banking Basics (Module 12),Understanding how to use net banking for daily transactions.,"Net banking allows checking balances, transferring funds, and paying bills online using your bank's official website. Use strong passwords, change them regularly, and never log in on public Wi-Fi to keep your accounts secure.",https://www.sbi.co.in/web/personal-banking/online-banking
